% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:59"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2684.2828630766603,48.36684449300378,2684.2828630766603,48.36684449300378
10,0,0,1655.1118156920393,38.89021357599529,2679.418734226229,48.34662704355458
20,0,0,1628.2876467201227,38.88905419395263,2674.5515036862175,48.33445930642836
30,0,0,1628.0044047722477,38.889013194097686,2669.680996719238,48.328837975123975
40,0,0,1628.0019307694158,38.88897117607718,2664.8071490325265,48.32812249447744
50,0,0,1628.0019047671644,38.889024701366395,2659.9298972515917,48.328719972670456
60,0,0,1628.001951358413,38.889011021364695,2655.049223979451,48.32924821231916
70,0,0,1628.0019560137343,38.88900305709558,2650.1651279581306,48.32870306888367
80,0,0,1628.0017953180698,38.88902916476957,2645.2775997081703,48.328272480748865
90,0,0,1627.9862942872094,38.88903563834913,2640.3866226841074,48.327794523951525
100,0,0,1627.0158910234884,48.329999999999984,2635.4921591980046,48.329999999999984
