% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:41"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2868.6731067666506,48.37886617284329,2868.6731067666506,48.37886617284329
10,0,0,1660.6232722046764,38.89039867511957,2863.921334758987,48.35286460122711
20,0,0,1628.3459477072877,38.88905399652259,2859.1668257850692,48.33751935060104
30,0,0,1628.00490486291,38.88901317822865,2854.4094085570564,48.32928083658152
40,0,0,1628.0019239334779,38.88897120273947,2849.649142580157,48.32620213798498
50,0,0,1628.0018939056629,38.8890246750193,2844.885969665558,48.325237854194995
60,0,0,1628.0019402235887,38.88901100939631,2840.119850088534,48.32723377054231
70,0,0,1628.0019449618908,38.88900305212576,2835.350763184352,48.32711758859136
80,0,0,1628.001795849777,38.88902913744499,2830.5786985223426,48.32714683549824
90,0,0,1627.9874230910752,38.889035671479405,2825.803640070143,48.326103436391975
100,0,0,1627.0860890633903,48.329999999999984,2821.02558334461,48.329999999999984
