% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:38"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2856.996423591609,48.37815611758401,2856.996423591609,48.37815611758401
10,0,0,1660.2682619406025,38.89038716525096,2852.237990902053,48.35239212641625
20,0,0,1628.3421901403585,38.88905400865457,2847.4768019432986,48.337094222020085
30,0,0,1628.0048726191226,38.88901317922853,2842.7126791144533,48.329074959688114
40,0,0,1628.0019243559393,38.88897120106361,2837.9456751003017,48.32601686860335
50,0,0,1628.0018945875008,38.88902467667697,2833.1757396330445,48.3249919001903
60,0,0,1628.00194092262,38.88901101014949,2828.402831989735,48.32706143856319
70,0,0,1628.0019456560672,38.88900305243965,2823.6269294496597,48.32692543102132
80,0,0,1628.0017958583178,38.889029139161835,2818.8480213393123,48.32673627891114
90,0,0,1627.9873563419567,38.88903566964427,2814.0660937244506,48.325887475149386
100,0,0,1627.0819349715962,48.329999999999984,2809.2811403044443,48.329999999999984
