% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 04:48"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2684.8711710000002,48.35358772029298,2684.8711710000002,48.35358772029298
10,0,0,1655.1296202725434,38.89021251244219,2680.3967481114296,48.34017687609793
20,0,0,1628.2878352128082,38.88905419372435,2675.9196425822374,48.33210827567217
30,0,0,1628.004406397089,38.88901319405534,2671.439755029113,48.32808707376557
40,0,0,1628.0019307542868,38.88897117614647,2666.9570370530278,48.327989082752765
50,0,0,1628.001904739005,38.88902470129756,2662.471442859989,48.328484714640695
60,0,0,1628.0019513304455,38.88901102133343,2657.9829601657284,48.3291868871172
70,0,0,1628.0019561019262,38.88900305708239,2653.4915890787674,48.32858456895406
80,0,0,1628.001808986368,38.88902916462928,2648.9973221632654,48.32838327345678
90,0,0,1627.9876390985032,38.88903571613332,2644.5001488229364,48.32778787136067
100,0,0,1627.0985140366265,48.329999999999984,2640.0000346450206,48.329999999999984
