% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:06"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2683.7248680000002,48.37939362490221,2683.7248680000002,48.37939362490221
10,0,0,1655.0949318697242,38.890214582004944,2678.4568177982674,48.35327978010008
20,0,0,1628.287467976803,38.8890541941725,2673.1851907372143,48.33706623493117
30,0,0,1628.0044032314786,38.88901319413782,2667.90973115776,48.32972029404942
40,0,0,1628.001930783793,38.88897117601135,2662.6303575989655,48.328260327305486
50,0,0,1628.001904793897,38.88902470143148,2657.3469869890387,48.328854243194144
60,0,0,1628.0019513848802,38.88901102139437,2652.059593566523,48.3292847916797
70,0,0,1628.0019559194104,38.889003057108084,2646.768173593777,48.32882001857945
80,0,0,1628.0017811025123,38.88902916490906,2641.472716064994,48.32806678682499
90,0,0,1627.9848958918183,38.88903555737966,2636.173195989233,48.32781896877566
100,0,0,1626.9299747456266,48.329999999999984,2630.8695728552398,48.329999999999984
