% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 06:07"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2679.586625167341,48.36651521121479,2679.586625167341,48.36651521121479
10,0,0,1654.9741299106959,38.890208789440464,2674.71943966535,48.346492053067095
20,0,0,1628.2861912109904,38.88905419908207,2669.849135642782,48.33445064888281
30,0,0,1628.0043922929706,38.88901319450417,2664.9755398897705,48.3288531752857
40,0,0,1628.0019309482052,38.88897117539227,2660.0985902072935,48.32812417838676
50,0,0,1628.0019050464757,38.88902470204215,2655.2182191408574,48.32907264667722
60,0,0,1628.001951644738,38.889011021671536,2650.3344106296263,48.329211076837964
70,0,0,1628.001956297757,38.88900305722257,2645.4471674665874,48.328595976443125
80,0,0,1628.001795284455,38.88902916547147,2640.5564785235356,48.32818287273636
90,0,0,1627.9862633028063,38.8890356373808,2635.662326077856,48.3276742476404
100,0,0,1627.0139656391616,48.329999999999984,2630.7646696750085,48.329999999999984
