% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:44"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2880.349962296521,48.37956948148587,2880.349962296521,48.37956948148587
10,0,0,1660.9790824126148,38.89041019031845,2875.6047922219677,48.353317677720725
20,0,0,1628.3497140444379,38.889053984320924,2870.8569082490653,48.337865397158
30,0,0,1628.004937183514,38.88901317722923,2866.1061438088414,48.32942273365154
40,0,0,1628.0019235123975,38.88897120441328,2861.3525611710556,48.32642706705042
50,0,0,1628.0018932246073,38.88902467336317,2856.5960915747823,48.32523317298046
60,0,0,1628.0019395253546,38.88901100864376,2851.8366994188304,48.327276275782594
70,0,0,1628.0019442684606,38.8890030518121,2847.0743682248044,48.32719544943848
80,0,0,1628.0017958359936,38.88902913572997,2842.3090867944047,48.327277700261675
90,0,0,1627.987489248391,38.88903567328157,2837.5408405677185,48.32598735471578
100,0,0,1627.0902067377908,48.329999999999984,2832.7696230392144,48.329999999999984
