% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:03"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2683.936300127451,48.37464137587,2683.936300127451,48.37464137587
10,0,0,1655.1013290010724,38.890214201430695,2678.825930930013,48.35069170620551
20,0,0,1628.2875357008747,38.88905419408843,2673.712175483399,48.33603005321572
30,0,0,1628.0044038152573,38.88901319412264,2668.594809915203,48.32936330725556
40,0,0,1628.0019307783423,38.88897117603631,2663.4737595250003,48.328210195517784
50,0,0,1628.0019047837652,38.889024701406754,2658.3489492147564,48.328774040066605
60,0,0,1628.0019513748598,38.88901102138311,2653.2203565404416,48.32927965186843
70,0,0,1628.001955956592,38.88900305710331,2648.0879792172263,48.32880609538972
80,0,0,1628.0017866578012,38.88902916485529,2642.951806750258,48.32812794160645
90,0,0,1627.9854423378122,38.88903558904963,2637.811817474907,48.327806730156965
100,0,0,1626.9635480819818,48.329999999999984,2632.6679721151904,48.329999999999984
