% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 04:51"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2684.62270937545,48.35918975473743,2684.62270937545,48.35918975473743
10,0,0,1655.1221003741832,38.89021296207767,2679.986157526726,48.34283890341021
20,0,0,1628.2877556013168,38.88905419382053,2675.346752948166,48.33305676239536
30,0,0,1628.0044057108205,38.8890131940733,2670.7043655987777,48.32838806174823
40,0,0,1628.0019307606726,38.888971176117195,2666.058940605633,48.32803997880751
50,0,0,1628.0019047508947,38.889024701326605,2661.410425064005,48.32858833462751
60,0,0,1628.0019513422603,38.88901102134662,2656.758804909964,48.32921151157257
70,0,0,1628.0019560654619,38.88900305708796,2652.1040798462327,48.32859371069742
80,0,0,1628.001803305549,38.88902916468811,2647.4462412902194,48.3283913425322
90,0,0,1627.9870801486486,38.88903568381164,2642.7852767880822,48.32778864108502
100,0,0,1627.0641732091035,48.329999999999984,2638.1211502317897,48.329999999999984
