% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:13"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2786.9400020000003,48.37375250261641,2786.9400020000003,48.37375250261641
10,0,0,1658.1551517097369,38.890317284302455,2782.1405088138767,48.350063587083355
20,0,0,1628.319830447784,38.88905408375899,2777.338094671295,48.33609800568598
30,0,0,1628.004680783543,38.88901318524131,2772.5325681580784,48.32894769062318
40,0,0,1628.0019269198472,38.88897119097504,2767.7239578844615,48.32596245994296
50,0,0,1628.0018986950997,38.88902468665282,2762.9122263089907,48.32494479020022
60,0,0,1628.0019451336943,38.88901101468184,2758.097340190328,48.326594436005166
70,0,0,1628.0019498369268,38.88900305432509,2753.2792836175463,48.32656783403877
80,0,0,1628.001795795012,38.88902914950057,2748.4580319407505,48.32655256935868
90,0,0,1627.9869429675834,38.88903565791594,2743.633579355995,48.326302591079525
100,0,0,1627.0562178695857,48.329999999999984,2738.8059225263855,48.329999999999984
