% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:00"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2684.1559967791013,48.36969976468447,2684.1559967791013,48.36969976468447
10,0,0,1655.1079766826438,38.89021380517204,2679.2034378324097,48.348089701175354
20,0,0,1628.287606077684,38.88905419400203,2674.2476768254533,48.33501705259772
30,0,0,1628.0044044219067,38.88901319410678,2669.2885214790886,48.32902103703884
40,0,0,1628.001930772682,38.888971176062284,2664.325903755503,48.32815365631939
50,0,0,1628.0019047732405,38.88902470138112,2659.359756116178,48.328762824741716
60,0,0,1628.0019513644363,38.8890110213714,2654.3900595969644,48.329260082705446
70,0,0,1628.0019559933473,38.88900305709842,2649.416812500453,48.32875029301192
80,0,0,1628.001792210103,38.88902916480055,2644.4400050402887,48.328210921071445
90,0,0,1627.985988530579,38.88903562065758,2639.4596188319297,48.3277981003053
100,0,0,1626.9971056828692,48.329999999999984,2634.475615663464,48.329999999999984
