% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 04:39"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2685.4025877313707,48.34158969162502,2685.4025877313707,48.34158969162502
10,0,0,1655.145706228024,38.89021154777015,2681.2410079976653,48.33480752142452
20,0,0,1628.2880055122525,38.889054193517836,2677.0770525996854,48.33029330391474
30,0,0,1628.0044078651292,38.88901319401714,2672.910681297988,48.32744436761385
40,0,0,1628.001930740645,38.88897117620911,2668.7418599987714,48.32785733744055
50,0,0,1628.0019047135909,38.8890247012356,2664.570554049735,48.32830185347768
60,0,0,1628.0019513051097,38.88901102130524,2660.396754124324,48.32907087550058
70,0,0,1628.0019561695715,38.88900305707051,2656.2204605039597,48.328545801134624
80,0,0,1628.0018199249312,38.88902916450945,2652.0416683193816,48.32835238170958
90,0,0,1627.9887156240009,38.88903577831093,2647.860370047141,48.3277902459223
100,0,0,1627.1646533214832,48.329999999999984,2643.6765342738217,48.329999999999984
