% Model,comsolvalidasi.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.3.1.201,,,,,,,,,,,,,,,
% Date,"May 6 2020, 09:08",,,,,,,,,,,,,,,
% Dimension,3,,,,,,,,,,,,,,,
% Nodes,5517,,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,,
% Description,"Temperature, Pressure, Thermal conductivity, xx component, Heat capacity at constant pressure, Dynamic viscosity, Density, Mass flow",,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,
% X,Y,Z,T (degC) @ t=0,p (psi) @ t=0,ht.kxx (W/(m*K)) @ t=0,ht.Cp (J/(kg*K)) @ t=0,dl.mu (kg/(m*s)) @ t=0,dl.rho (kg/m^3) @ t=0,dl.pr1.Mflow (kg/s) @ t=0,T (degC) @ t=77,p (psi) @ t=77,ht.kxx (W/(m*K)) @ t=77,ht.Cp (J/(kg*K)) @ t=77,dl.mu (kg/(m*s)) @ t=77,dl.rho (kg/m^3) @ t=77,dl.pr1.Mflow (kg/s) @ t=77
1000,-9.410023631,-22.26967875,38.889,1627.992946,0.04911356,2.337272088,1.72E-05,123.8298691,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-3.243292205,-25.63759498,38.889,1627.992952,0.04911356,2.337272089,1.72E-05,123.8298696,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-8.712856367,-31.31028636,38.889,1627.992938,0.04911356,2.337272086,1.72E-05,123.8298685,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.8843014,-6.456346918,-31.85224614,38.889,1627.996582,0.049113529,2.337272961,1.72E-05,123.8301837,-13689.88059,38.889,2683.212854,0.040014973,2.590581944,2.38E-05,215.1235191,-0.189058827
1000,0,-32.5,38.889,1627.992935,0.04911356,2.337272085,1.72E-05,123.8298682,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.1652948,-12.79982193,-29.87330846,38.889,1627.996875,0.049113526,2.337273031,1.72E-05,123.830209,-13689.88059,38.889,2683.213628,0.040014967,2.59058213,2.38E-05,215.1235861,-0.189058827
993.8074227,-31.84901649,-6.472259935,38.889,1627.996625,0.049113528,2.337272971,1.72E-05,123.8301874,-13689.88059,38.889,2683.212937,0.040014973,2.590581964,2.38E-05,215.1235263,-0.189058827
1000,-24.39235565,-9.570418357,38.889,1627.992963,0.04911356,2.337272092,1.72E-05,123.8298706,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-31.31028636,-8.712856367,38.889,1627.99294,0.04911356,2.337272086,1.72E-05,123.8298686,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.1456176,-29.93050784,-12.6654925,38.889,1627.996883,0.049113526,2.337273033,1.72E-05,123.8302097,-13689.88059,38.889,2683.213649,0.040014967,2.590582135,2.38E-05,215.1235879,-0.189058827
992.8892458,-21.90764628,-12.76441906,38.889,1627.996982,0.049113525,2.337273057,1.72E-05,123.8302183,-13689.88059,38.889,2683.213925,0.040014964,2.590582201,2.38E-05,215.1236118,-0.189058827
987.3008166,-28.13213413,-16.27369132,38.889,1627.998536,0.049113512,2.33727343,1.72E-05,123.8303528,-13689.88059,38.889,2683.219942,0.040014912,2.590583645,2.38E-05,215.1241324,-0.189058827
991.3701353,-12.45090153,-23.94357705,38.889,1627.997509,0.049113521,2.337273183,1.72E-05,123.8302639,-13689.88059,38.889,2683.215561,0.04001495,2.590582594,2.38E-05,215.1237533,-0.189058827
987.2861923,-16.31878056,-28.10600294,38.889,1627.998544,0.049113512,2.337273432,1.72E-05,123.8303534,-13689.88059,38.889,2683.219958,0.040014912,2.590583649,2.38E-05,215.1241337,-0.189058827
993.1452208,12.66483888,-29.93078442,38.889,1627.99688,0.049113526,2.337273032,1.72E-05,123.8302095,-13689.88059,38.889,2683.21365,0.040014967,2.590582135,2.38E-05,215.123588,-0.189058827
993.8073468,6.472114027,-31.84904614,38.889,1627.996609,0.049113528,2.337272967,1.72E-05,123.8301861,-13689.88059,38.889,2683.212937,0.040014973,2.590581964,2.38E-05,215.1235263,-0.189058827
1000,2.823558499,-24.80486372,38.889,1627.99297,0.04911356,2.337272093,1.72E-05,123.8298712,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,22.33297259,-8.689421727,38.889,1627.992946,0.04911356,2.337272088,1.72E-05,123.8298691,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
993.162503,29.87098158,-12.80525125,38.889,1627.996873,0.049113526,2.33727303,1.72E-05,123.8302088,-13689.88059,38.889,2683.213631,0.040014967,2.59058213,2.38E-05,215.1235863,-0.189058827
1000,28.21157061,-16.13551532,38.889,1627.992942,0.04911356,2.337272087,1.72E-05,123.8298687,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,20.15774146,-15.49661398,38.889,1627.992956,0.04911356,2.33727209,1.72E-05,123.8298699,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
993.0679808,25.73662643,-19.84631099,38.889,1627.99691,0.049113526,2.337273039,1.72E-05,123.8302121,-13689.88059,38.889,2683.213733,0.040014966,2.590582155,2.38E-05,215.1235952,-0.189058827
1000,-17.95372544,-6.322371836,38.889,1627.992946,0.04911356,2.337272088,1.72E-05,123.8298691,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,16.37985266,21.02960872,38.889,1627.992944,0.04911356,2.337272087,1.72E-05,123.829869,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,22.98097039,22.98097039,38.889,1627.992955,0.04911356,2.33727209,1.72E-05,123.8298699,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
992.7926761,20.0583279,25.57173209,38.889,1627.997018,0.049113525,2.337273065,1.72E-05,123.8302214,-13689.88059,38.889,2683.214029,0.040014963,2.590582226,2.38E-05,215.1236208,-0.189058827
1000,16.13551532,28.21157061,38.889,1627.992941,0.04911356,2.337272087,1.72E-05,123.8298687,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,24.48082183,10.93485402,38.889,1627.992961,0.04911356,2.337272091,1.72E-05,123.8298704,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
994.1812692,31.88304542,6.302492757,38.889,1627.996451,0.04911353,2.337272929,1.72E-05,123.8301723,-13689.88059,38.889,2683.212534,0.040014976,2.590581867,2.38E-05,215.1234915,-0.189058827
993.4265266,29.9225443,12.68429512,38.889,1627.99677,0.049113527,2.337273006,1.72E-05,123.8301999,-13689.88059,38.889,2683.213347,0.040014969,2.590582062,2.38E-05,215.1235618,-0.189058827
1000,31.31028636,8.712856367,38.889,1627.99294,0.04911356,2.337272086,1.72E-05,123.8298686,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.1072165,25.95026018,19.56614415,38.889,1627.996899,0.049113526,2.337273037,1.72E-05,123.8302111,-13689.88059,38.889,2683.21369,0.040014966,2.590582145,2.38E-05,215.1235915,-0.189058827
1000,28.21157061,16.13551532,38.889,1627.992938,0.04911356,2.337272086,1.72E-05,123.8298684,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-9.843760657,23.75611344,38.889,1627.992949,0.04911356,2.337272088,1.72E-05,123.8298693,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
994.1694409,-6.315304118,31.88051025,38.889,1627.996462,0.04911353,2.337272932,1.72E-05,123.8301733,-13689.88059,38.889,2683.212547,0.040014976,2.59058187,2.38E-05,215.1234926,-0.189058827
993.3266629,-12.6341256,29.94376179,38.889,1627.996814,0.049113527,2.337273016,1.72E-05,123.8302038,-13689.88059,38.889,2683.213454,0.040014968,2.590582088,2.38E-05,215.1235711,-0.189058827
1000,-8.712856367,31.31028636,38.889,1627.992941,0.04911356,2.337272087,1.72E-05,123.8298687,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-16.13551532,28.21157061,38.889,1627.992936,0.04911356,2.337272085,1.72E-05,123.8298682,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
992.6499061,-19.44486599,26.04125932,38.889,1627.997071,0.049113524,2.337273078,1.72E-05,123.830226,-13689.88059,38.889,2683.214183,0.040014962,2.590582263,2.38E-05,215.1236341,-0.189058827
1000,-21.47580838,15.75393656,38.889,1627.992937,0.04911356,2.337272086,1.72E-05,123.8298683,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-22.98097039,22.98097039,38.889,1627.99295,0.04911356,2.337272089,1.72E-05,123.8298694,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
996.2445414,-20.25437934,19.63618703,38.889,1627.995429,0.049113539,2.337272684,1.72E-05,123.8300839,-13689.88059,38.889,2683.210313,0.040014995,2.590581334,2.38E-05,215.1232993,-0.189058827
992.4890829,-25.25093697,20.46069848,38.889,1627.997139,0.049113524,2.337273094,1.72E-05,123.8302319,-13689.88059,38.889,2683.214356,0.04001496,2.590582304,2.38E-05,215.1236491,-0.189058827
995.161108,-1.018113238,28.44699467,38.889,1627.995996,0.049113534,2.33727282,1.72E-05,123.830133,-13689.88059,38.889,2683.211479,0.040014985,2.590581614,2.38E-05,215.1234002,-0.189058827
