% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 06:18"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2668.2511257911606,48.365715546955926,2668.2511257911606,48.365715546955926
10,0,0,1654.642353017394,38.89019722116416,2663.376512575478,48.346174757401286
20,0,0,1628.282684111445,38.88905421142135,2658.4987396630777,48.33443824289816
30,0,0,1628.004362224975,38.8890131954858,2653.6176369890723,48.32877380379176
40,0,0,1628.0019313807354,38.88897117373779,2648.7331493566826,48.32769902552411
50,0,0,1628.0019057212198,38.88902470367418,2643.8452101044804,48.328447578085616
60,0,0,1628.0019523364215,38.88901102241266,2638.953798651321,48.32846991111899
70,0,0,1628.00195698384,38.88900305752895,2634.0589182896683,48.327856064304854
80,0,0,1628.0017951988389,38.889029167166996,2629.1605545216094,48.327606424654505
90,0,0,1627.9861880196013,38.88903563501566,2624.258687661405,48.327506482077695
100,0,0,1627.0092878132482,48.329999999999984,2619.3532727392703,48.329999999999984
