% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:19"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2810.2914348914205,48.37524786326918,2810.2914348914205,48.37524786326918
10,0,0,1658.8562747096648,38.890340725695296,2805.5058718199243,48.35085270059278
20,0,0,1628.3272481240983,38.88905405858702,2800.717443861774,48.33646530037413
30,0,0,1628.004744417168,38.88901318323451,2795.9259632748635,48.32899927539586
40,0,0,1628.0019260596516,38.88897119434387,2791.1314651337048,48.3259888127576
50,0,0,1628.0018973227277,38.88902468332168,2786.33390949788,48.324945495314864
60,0,0,1628.0019437267686,38.88901101316861,2781.533260874057,48.32667111247849
70,0,0,1628.0019484402849,38.889003053696115,2776.729502589569,48.326606790895596
80,0,0,1628.0017958384788,38.889029146047164,2771.9226133735992,48.326592773073685
90,0,0,1627.987083267583,38.889035661964385,2767.112583493269,48.32618177256421
100,0,0,1627.064944596334,48.329999999999984,2762.299414042582,48.329999999999984
