% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 06:21"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2665.03754638334,48.365487589686836,2665.03754638334,48.365487589686836
10,0,0,1654.5484398480453,38.89019393719275,2660.160815426438,48.34608645668112
20,0,0,1628.2816914368557,38.889054214900625,2655.280912954498,48.334436644413074
30,0,0,1628.0043537146353,38.889013195764164,2650.3976698810498,48.32878074212397
40,0,0,1628.001931503608,38.88897117326832,2645.5110324910443,48.32754731415042
50,0,0,1628.0019059126525,38.889024704137114,2640.6209359901345,48.32818321538298
60,0,0,1628.0019525326582,38.88901102262287,2635.7273575214144,48.32823845226335
70,0,0,1628.0019571784785,38.88900305761581,2630.8302996037223,48.32790610678751
80,0,0,1628.0017951734044,38.88902916764806,2625.9297471364894,48.32747194154257
90,0,0,1627.9861665487122,38.88903563433803,2621.025679868303,48.32748474285796
100,0,0,1627.0079537685754,48.329999999999984,2616.1180521921283,48.329999999999984
