% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:35"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2845.3199137859806,48.377439287792015,2845.3199137859806,48.377439287792015
10,0,0,1659.9140543525225,38.89037560708368,2840.554475362367,48.35155066089658
20,0,0,1628.33844137197,38.88905402100835,2835.786369884291,48.3349849925292
30,0,0,1628.0048404524168,38.8890131802292,2831.01542746093,48.32483637245872
40,0,0,1628.0019247797877,38.88897119938622,2826.2416189570476,48.32108321752372
50,0,0,1628.0018952701253,38.88902467833594,2821.464871719467,48.32022824220928
60,0,0,1628.0019416224518,38.889011010903346,2816.6851480340315,48.322267645549346
70,0,0,1628.001946350994,38.88900305275365,2811.9024342995635,48.322002573479494
80,0,0,1628.0017958615392,38.88902914088055,2807.116723818929,48.32195008931228
90,0,0,1627.9872889931457,38.88903566777611,2802.328002154903,48.322027657055685
100,0,0,1627.077743977271,48.329999999999984,2797.5362159262845,48.329999999999984
