% Model,tiap 1 m.mph
% Version,COMSOL 5.3.1.201
% Date,"May 18 2020, 07:40"
% Dimension,3
% Nodes,101
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2676.985665000001,48.36633232999992,2676.985665000001,48.36633232999992
1,0,0,2514.319568209643,48.35534332026407,2676.9749194717924,48.36260088732507
2,0,0,2374.220298627702,48.34455987344046,2676.9641740856973,48.35887551906097
3,0,0,2257.010728138083,48.33311594015953,2676.953428842303,48.35509233868328
4,0,0,2168.102538046146,48.33002467380345,2676.9426837294395,48.35173771034806
5,0,0,2102.970906867386,48.33000652656381,2676.931938724453,48.348617402453954
6,0,0,2056.951572440247,48.33002395852202,2676.9211938197836,48.34564490435116
7,0,0,2025.133419998173,48.329992474341225,2676.910448993526,48.34341213817834
8,0,0,2003.1637794331893,48.329981313543726,2676.8997042219844,48.341342129231634
9,0,0,1988.2097821679167,48.32999472503485,2676.8889594957263,48.339483034875286
10,0,0,1978.7284214530828,48.330002929195075,2676.878214805675,48.33784124012891
11,0,0,1972.2675309001754,48.33000227307264,2676.8674701324594,48.33674804110615
12,0,0,1967.6828395331331,48.33000140307519,2676.856725466886,48.33569851336472
13,0,0,1964.8509291386715,48.33000049382184,2676.84598080832,48.33464445939336
14,0,0,1963.317838903524,48.3300000046566,2676.8352361536904,48.33380430341947
15,0,0,1962.0779855182025,48.3300000011871,2676.8244914914567,48.333195489064906
16,0,0,1961.3059238524547,48.329999997717664,2676.8137468210225,48.332586674710456
17,0,0,1960.8529956937593,48.329999971329755,2676.803002142128,48.3321232722231
18,0,0,1960.5320447220417,48.329999990354,2676.7922574509057,48.33175615993031
19,0,0,1960.3413734009453,48.33000000217925,2676.781512746594,48.3314256209344
20,0,0,1960.2147620959154,48.32999999936419,2676.770768028789,48.331177405343055
21,0,0,1960.1344171462074,48.32999999860908,2676.7600232963514,48.33096613600992
22,0,0,1960.0862379456817,48.32999999884703,2676.7492785489803,48.330799413717955
23,0,0,1960.0539811276199,48.3300000001708,2676.7385337858527,48.330667795578506
24,0,0,1960.0335929684154,48.330000000313646,2676.72778900696,48.33054999345114
25,0,0,1960.021366533326,48.33000000005734,2676.717044212437,48.33044976571102
26,0,0,1960.0133847182135,48.33000000001044,2676.706299401746,48.330381049198365
27,0,0,1960.0082399944854,48.32999999996349,2676.6955545749956,48.33031233268554
28,0,0,1960.005319615923,48.32999999995616,2676.6848097321226,48.33025441805006
29,0,0,1960.0032689543975,48.3299999999939,2676.6740648729115,48.330206393562776
30,0,0,1960.0020690178817,48.33000000000101,2676.6633199973908,48.33016937088985
31,0,0,1960.0012765134761,48.329999999996346,2676.6525751055347,48.33013903805278
32,0,0,1960.0008089258451,48.32999999999765,2676.641830197266,48.33011516130489
33,0,0,1960.0004970829336,48.32999999999947,2676.6310852726324,48.330096111264254
34,0,0,1960.000314147365,48.33000000000038,2676.6203403316313,48.33007921207826
35,0,0,1960.0001935000412,48.32999999999993,2676.609595374203,48.330065005004144
36,0,0,1960.0001205946105,48.329999999999586,2676.598850400359,48.33005148687948
37,0,0,1960.0000750313216,48.32999999999976,2676.588105410127,48.33004215039688
38,0,0,1960.0000470270238,48.32999999999976,2676.5773604034616,48.330035288310796
39,0,0,1960.0000287737278,48.32999999999964,2676.5666153803504,48.33002952045513
40,0,0,1960.0000181803684,48.329999999999814,2676.5558703408215,48.330024263408006
41,0,0,1960.0000111570416,48.329999999999984,2676.5451252848757,48.330019976897006
42,0,0,1960.0000069331602,48.330000000000155,2676.5343802125067,48.33001576163247
43,0,0,1960.0000043290834,48.329999999999984,2676.5236351237345,48.33001325650639
44,0,0,1960.0000026589048,48.3299999999997,2676.512890018563,48.3300109720646
45,0,0,1960.0000016595386,48.3299999999997,2676.502144897006,48.330009019685576
46,0,0,1960.0000010207034,48.3299999999997,2676.4913997590606,48.3300074677735
47,0,0,1960.0000006349535,48.3299999999997,2676.4806546047384,48.330006024901934
48,0,0,1960.0000003881132,48.3299999999997,2676.4699094340453,48.33000508950528
49,0,0,1960.0000002456827,48.3299999999997,2676.459164246995,48.33000414994325
50,0,0,1960.0000001521976,48.3299999999997,2676.448419043581,48.330003458841475
51,0,0,1960.000000092236,48.3299999999997,2676.437673823817,48.33000277723238
52,0,0,1960.000000057802,48.3299999999997,2676.4269285877062,48.33000229624605
53,0,0,1960.0000000352659,48.32999999999976,2676.416183335256,48.33000191573137
54,0,0,1960.000000022047,48.32999999999976,2676.405438066476,48.33000157121785
55,0,0,1960.0000000134944,48.3299999999997,2676.394692781363,48.330001304893585
56,0,0,1960.000000008169,48.3299999999997,2676.383947479928,48.33000103856938
57,0,0,1960.0000000050863,48.3299999999997,2676.373202162175,48.33000086089521
58,0,0,1960.0000000029866,48.3299999999997,2676.3624568281098,48.33000071185728
59,0,0,1960.0000000017164,48.32999999999976,2676.351711477728,48.33000058971896
60,0,0,1960.000000000771,48.32999999999976,2676.3409661110327,48.33000048416966
61,0,0,1960.000000000077,48.3299999999997,2676.330220728026,48.330000391199064
62,0,0,1959.999999999367,48.3299999999997,2676.3194753286994,48.3300003298815
63,0,0,1959.9999999984914,48.32999999999976,2676.308729913053,48.33000027010269
64,0,0,1959.9999999973934,48.32999999999976,2676.297984481088,48.33000022084508
65,0,0,1959.9999999955287,48.32999999999976,2676.2872390327966,48.33000018495136
66,0,0,1959.999999992702,48.3299999999997,2676.276493568184,48.330000149057696
67,0,0,1959.9999999884035,48.3299999999997,2676.2657480872513,48.330000125117635
68,0,0,1959.999999980884,48.3299999999997,2676.255002589999,48.33000010317028
69,0,0,1959.999999970057,48.32999999999976,2676.2442570764324,48.33000008353861
70,0,0,1959.9999999514928,48.3299999999997,2676.233511546555,48.330000070065466
71,0,0,1959.9999999211493,48.3299999999997,2676.2227660003737,48.330000056592326
72,0,0,1959.9999998775397,48.32999999999976,2676.212020437891,48.33000004704172
73,0,0,1959.9999997994503,48.3299999999997,2676.201274859113,48.3300000391136
74,0,0,1959.9999996831618,48.3299999999997,2676.190529264041,48.33000003156121
75,0,0,1959.999999492012,48.3299999999997,2676.179783652677,48.33000002669519
76,0,0,1959.999999182113,48.3299999999997,2676.169038025016,48.330000021829164
77,0,0,1959.9999987218082,48.3299999999997,2676.1582923810583,48.330000017988255
78,0,0,1959.9999979147183,48.3299999999997,2676.1475467207874,48.33000001498033
79,0,0,1959.9999967261444,48.3299999999997,2676.1368010442084,48.33000001197246
80,0,0,1959.9999948338361,48.32999999999976,2676.126055351298,48.33000000991194
81,0,0,1959.9999917945697,48.329999999999814,2676.1153096420567,48.33000000796676
82,0,0,1959.9999872282203,48.32999999999993,2676.104563916476,48.33000000669432
83,0,0,1959.999979477102,48.32999999999987,2676.093818174491,48.330000005638794
84,0,0,1959.9999676268171,48.32999999999976,2676.083072416082,48.33000000452131
85,0,0,1959.9999495293198,48.32999999999976,2676.072326641205,48.33000000374619
86,0,0,1959.999919615741,48.329999999999814,2676.061580849791,48.33000000308846
87,0,0,1959.9998754334565,48.32999999999987,2676.0508350417076,48.33000000249922
88,0,0,1959.9998053747186,48.33000000000004,2676.040089216774,48.33000000207892
89,0,0,1959.9996943488943,48.33000000000021,2676.0293433748416,48.33000000166953
90,0,0,1959.9995333207914,48.33000000000021,2676.018597515465,48.33000000138804
91,0,0,1959.9992803334817,48.330000000000155,2676.007851638395,48.3300000011634
92,0,0,1959.9988788738149,48.32999999999993,2675.997105742724,48.3300000009325
93,0,0,1959.9982907877745,48.33000000000004,2675.986359828018,48.3300000007531
94,0,0,1959.9973849703267,48.3300000000001,2675.9756138929074,48.33000000060315
95,0,0,1959.996070097098,48.329999999999984,2675.9648679370425,48.3300000004603
96,0,0,1959.9941002641183,48.329999999999814,2675.9541219586163,48.33000000035355
97,0,0,1959.991246584048,48.3299999999997,2675.9433759565964,48.3300000002514
98,0,0,1959.987201400914,48.329999999999814,2675.932629930046,48.33000000016358
99,0,0,1959.9814274771757,48.32999999999987,2675.921883877493,48.33000000008212
100,0,0,1959.9738071507898,48.32999999999993,2675.9111377987433,48.32999999999993
