% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:51"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2903.7041864149105,48.38095596769432,2903.7041864149105,48.38095596769432
10,0,0,1661.6930917113532,38.890433267702804,2898.972071657215,48.35425912108292
20,0,0,1628.3572729180692,38.889053960167985,2894.2372897323717,48.3385810943505
30,0,0,1628.005002054159,38.88901317523289,2889.4996784577274,48.32968449663849
40,0,0,1628.00192267436,38.88897120775579,2884.759291523679,48.32645099795491
50,0,0,1628.0018918648323,38.88902467005528,2880.0160525328643,48.324786170657546
60,0,0,1628.0019381312668,38.889011007140596,2875.2699442258818,48.32699537314659
70,0,0,1628.0019428838327,38.88900305118523,2870.520951126638,48.326954839954965
80,0,0,1628.0017957930017,38.889029132305154,2865.769061896057,48.32705988665941
90,0,0,1627.9876198185277,38.88903567678983,2861.0142610508988,48.32588066373921
100,0,0,1627.0983347327758,48.329999999999984,2856.25654702749,48.329999999999984
