% Model,comsolvalidasi.mph
% Version,COMSOL 5.3.1.201
% Date,"May 4 2020, 06:27"
% Dimension,3
% Nodes,3517
% Expressions,14
% Description,"Temperature, Pressure, Thermal conductivity, xx component, Heat capacity at constant pressure, Dynamic viscosity, Density, Mass flow"
% Length unit,m
% X,Y,Z,T (degC) @ t=0,p (psi) @ t=0,ht.kxx (W/(m*K)) @ t=0,ht.Cp (J/(kg*K)) @ t=0,dl.mu (kg/(m*s)) @ t=0,dl.rho (kg/m^3) @ t=0,dl.pr1.Mflow (kg/s) @ t=0,T (degC) @ t=77,p (psi) @ t=77,ht.kxx (W/(m*K)) @ t=77,ht.Cp (J/(kg*K)) @ t=77,dl.mu (kg/(m*s)) @ t=77,dl.rho (kg/m^3) @ t=77,dl.pr1.Mflow (kg/s) @ t=77
100,9.830922064293993,1.2009315098799789,38.88900000000001,1627.9944345217862,0.04911354721896142,2.3372724451142015,1.7235591393280257E-5,123.82999788679423,-1815.3421932614378,38.88900000000001,2684.1751694775153,0.04000667585169188,2.590812951701168,2.3795020455363005E-5,215.206775043375,-0.026616375589199638
100,8.641455464570498,3.5587773323621317,38.88900000000001,1627.9944346064879,0.04911354721823109,2.337272445134535,1.723559139380631E-5,123.8299978941223,-1815.3421932614374,38.88900000000001,2684.1751694717677,0.04000667585174145,2.590812951699789,2.3795020455327317E-5,215.20677504287775,-0.026616375589199645
100,11.776552834576238,3.155518183784326,38.88900000000001,1627.9944345473275,0.04911354721874118,2.3372724451203326,1.7235591393438883E-5,123.82999788900405,-1815.342193261438,38.88900000000001,2684.175169567037,0.04000667585091999,2.590812951722658,2.3795020455918984E-5,215.20677505112008,-0.02661637558919964
98.15803279488573,9.143451765118272,2.47323361264989,38.889000000000166,1627.995824958215,0.04911353522998551,2.337272778894153,1.7235600028610183E-5,123.83011818211439,-1815.3421932614372,38.88900001930806,2684.177153173528,0.04000665877931565,2.5908134276837136,2.379503277514204E-5,215.2069466652787,-0.026616375589199638
97.74463984070843,11.987537955230986,2.2234652621294884,38.88900000000001,1627.9961248194084,0.04911353264444541,2.337272850877061,1.7235601890903427E-5,123.83014412497496,-1815.3421932614378,38.88900000000001,2684.17759838255,0.04000665490856636,2.5908135347697594,2.3795035540120524E-5,215.20698518308566,-0.026616375589199638
100,12.192,5.3766893069765394E-15,38.88899999999995,1627.9944351666727,0.049113547213400825,2.33727244526901,1.7235591397285334E-5,123.82999794258743,-1815.342193261438,38.88899999999995,2684.1751695638527,0.04000667585094736,2.590812951721895,2.379502045589921E-5,215.20677505084456,-0.026616375589199638
99.99999999999999,10.558568674241862,6.0959920624191755,38.88900000000001,1627.994434602783,0.049113547218263026,2.3372724451336455,1.723559139378329E-5,123.82999789380186,-1815.342193261438,38.88900000000001,2684.1751695617045,0.04000667585096596,2.5908129517213787,2.3795020455885868E-5,215.20677505065873,-0.02661637558919964
97.40872873228965,11.243084340117733,4.715709757926104,38.88900000000001,1627.9963658923284,0.04911353056580491,2.337272908747601,1.7235603388091035E-5,123.83016498169557,-1815.3421932614376,38.88900000000001,2684.1779601371522,0.04000665178935341,2.5908136216104327,2.3795037786803856E-5,215.2070164807307,-0.02661637558919964
100,8.621045876226386,8.621045876226395,38.88900000000001,1627.9944350335363,0.049113547214548865,2.337272445237049,1.723559139645849E-5,123.82999793106899,-1815.342193261438,38.88900000000001,2684.1751695394582,0.040006675851157796,2.5908129517160385,2.3795020455747707E-5,215.20677504873404,-0.026616375589199638
97.06231151948094,9.672564031302517,7.4220192037176025,38.88900000000001,1627.9966120278232,0.049113528443512564,2.3372729678334347,1.7235604916719868E-5,123.83018627641106,-1815.3421932614374,38.88900000000001,2684.1783332102887,0.040006648572546884,2.590813711168166,2.379504010378114E-5,215.2070487576125,-0.026616375589199645
100,7.821825972810625,5.853737370024359,38.88900000000001,1627.994434571356,0.049113547218534004,2.3372724451261004,1.7235591393588116E-5,123.82999789108293,-1815.3421932614378,38.88900000000001,2684.175169475936,0.04000667585170552,2.59081295170079,2.3795020455353193E-5,215.20677504323837,-0.026616375589199638
100,5.402076723636611,3.8469966411689693,38.88899999999995,1627.9944345279644,0.049113547218908045,2.337272445115686,1.7235591393318635E-5,123.82999788732879,-1815.3421932614376,38.88899999999995,2684.1751694543022,0.04000667585189195,2.590812951695597,2.379502045521885E-5,215.20677504136668,-0.02661637558919964
97.75598666872,7.734267527687099,4.070539457355403,38.889000000000124,1627.9961168825214,0.04911353271288107,2.3372728489717782,1.723560184161124E-5,123.83014343830541,-1815.3421932614374,38.88900003193697,2684.1775861495994,0.04000665506689926,2.590813531482861,2.3795035464147574E-5,215.206984124737,-0.026616375589199645
97.38133463742196,8.784083815186829,5.19177752999351,38.88900000000001,1627.996385080388,0.0491135304003567,2.3372729133537744,1.7235603507258816E-5,123.83016664177423,-1815.3421932614374,38.88900001975662,2684.1779896364123,0.040006651567694014,2.590813628475132,2.3795037970009527E-5,215.2070190328955,-0.026616375589199645
100,5.534151228621983,7.4806841947318965,38.88900000000001,1627.994434476901,0.04911354721934844,2.3372724451034266,1.7235591393001502E-5,123.82999788291099,-1815.3421932614378,38.88900000000001,2684.1751694716186,0.04000667585174273,2.5908129516997533,2.3795020455326386E-5,215.20677504286488,-0.026616375589199638
97.35394054255427,6.325083290255926,5.667845302060915,38.889000000000316,1627.9964047775652,0.04911353023051915,2.3372729180821583,1.7235603629588486E-5,123.83016834589986,-1815.342193261437,38.88900004065147,2684.1780191294883,0.04000665134797169,2.59081363532586,2.379503815317679E-5,215.20702158452517,-0.026616375589199635
